,feature,shap_importance
4,STRATA1,0.2785572409629822
34,THY_NLL,0.25478774309158325
44,SCORESUM,0.24130262434482574
41,TSH,0.23929837346076965
3,PSU,0.19144760072231293
25,THY_SVR,0.16146045923233032
8,BIN_SMOK,0.12757965922355652
43,HCGB_RE_Z,0.12194084376096725
27,THY_SWL,0.1121608316898346
31,THY_SI,0.09553854167461395
35,THY_NRL,0.09505628049373627
1,AGE,0.09396754950284958
42,FT3,0.09095586091279984
33,THY_ER,0.07782705873250961
40,SOMA_HC,0.07485181838274002
32,THY_EL,0.06777434051036835
22,THY_SLR,0.060706090182065964
14,BIN_WTHR,0.05986824631690979
5,STRPOP1,0.059639789164066315
21,MED_7D,0.0574558824300766
16,BIN_NODE,0.05540608614683151
6,STRATA2,0.045748788863420486
12,BIN_WC,0.03821640461683273
13,BIN_WCIDF,0.037117697298526764
2,SDSWT,0.033626213669776917
15,BIN_GOIT,0.02978239580988884
28,THY_SDL,0.027701815590262413
26,THY_SLL,0.023122185841202736
38,SOMA_BW,0.022344576194882393
23,THY_SWR,0.02222868800163269
10,WTHR,0.022026564925909042
39,SOMA_WC,0.021721472963690758
0,SEX,0.021414250135421753
30,THY_SVT,0.021288171410560608
36,THY_FIN,0.019982146099209785
37,SOMA_HT,0.017468057572841644
11,WTHTR,0.014607936143875122
9,BMI,0.014469057321548462
20,INT_THY3,0.014285912737250328
7,STRPOP2,0.014196157455444336
24,THY_SDR,0.013774631544947624
17,BIN_ECHO,0.012250245548784733
29,THY_SVL,0.010455172508955002
18,INT_THY1,0.004803211893886328
19,INT_THY2,0.0002646636567078531
