,feature,shap_importance
6,STRATA2,0.023122910410165787
7,STRPOP2,0.015201419591903687
37,SOMA_HT,0.013430231250822544
25,THY_SVR,0.011386212892830372
27,THY_SWL,0.010215876623988152
42,FT3,0.009088652208447456
26,THY_SLL,0.007538233883678913
10,WTHR,0.007110409438610077
41,TSH,0.006660803221166134
30,THY_SVT,0.006455778609961271
2,SDSWT,0.006017717998474836
3,PSU,0.005827965214848518
29,THY_SVL,0.005676321219652891
9,BMI,0.0054022581316530704
1,AGE,0.005050081294029951
33,THY_ER,0.004236617125570774
23,THY_SWR,0.004162690136581659
11,WTHTR,0.004144454374909401
21,MED_7D,0.004135219845920801
24,THY_SDR,0.004031497053802013
44,SCORESUM,0.004000425338745117
31,THY_SI,0.0038895567413419485
28,THY_SDL,0.0036218371242284775
4,STRATA1,0.0035684106405824423
39,SOMA_WC,0.003195049474015832
0,SEX,0.00294291484169662
40,SOMA_HC,0.0023303134366869926
5,STRPOP1,0.0016861226176843047
22,THY_SLR,0.0014656897401437163
32,THY_EL,0.0012314047198742628
43,HCGB_RE_Z,0.0010105783585458994
38,SOMA_BW,0.0008055460639297962
17,BIN_ECHO,0.0007949373102746904
36,THY_FIN,0.0005794523749500513
34,THY_NLL,0.0005594600806944072
13,BIN_WCIDF,0.0004520248039625585
8,BIN_SMOK,0.00031404398032464087
12,BIN_WC,0.0
20,INT_THY3,0.0
19,INT_THY2,0.0
14,BIN_WTHR,0.0
15,BIN_GOIT,0.0
16,BIN_NODE,0.0
18,INT_THY1,0.0
35,THY_NRL,0.0
