,feature,shap_importance
32,THY_NRL,0.4876002371311188
49,ANG2_IDS,0.36509475111961365
22,THY_SVR,0.33331748843193054
35,FT3_RE,0.29146450757980347
2,INT_SMOK,0.2806260287761688
46,OSTEO_IDS,0.20148800313472748
44,CTX_IDS,0.14416150748729706
29,THY_EL,0.10287483781576157
17,THR_NNR,0.0851769894361496
23,THY_SLL,0.07572511583566666
19,THY_SLR,0.07294674217700958
47,PINP_IDS,0.0724167749285698
16,SOMA_HC,0.06622246652841568
38,SHBG,0.06367170810699463
34,TPO,0.058734748512506485
41,VITD25_IDS,0.05808941274881363
26,THY_SVL,0.057375069707632065
24,THY_SWL,0.053953565657138824
15,SOMA_WC,0.05134907737374306
45,IGF1_IDS,0.04844389110803604
52,BMI,0.04517493396997452
14,SOMA_BW,0.04199925810098648
43,IGFBP3_IDS,0.04192040488123894
33,THY_FIN,0.0381724052131176
28,THY_SI,0.035711973905563354
31,THY_NLL,0.03134305402636528
30,THY_ER,0.029109355062246323
13,SOMA_HT,0.026745140552520752
37,TEST,0.01985180750489235
21,THY_SDR,0.01843397505581379
0,SEX,0.015653084963560104
3,INT_THY,0.014789310283958912
48,PTH_IDS,0.01422138512134552
20,THY_SWR,0.013227668590843678
1,AGE,0.011525571346282959
42,BAP_IDS,0.010683979839086533
18,THR_NNL,0.008514982648193836
40,IGF1,0.008192709647119045
36,TSH,0.00811367854475975
4,INT_HYPER,0.007877926342189312
50,TIE2_IDS,0.00422298489138484
27,THY_SVT,0.004041424952447414
7,INT_LUMP,0.003923693671822548
39,IGFBP3,0.003786040237173438
25,THY_SDL,0.0021438070107251406
51,SCORESUM,0.001915658824145794
9,INT_CARC,0.0
6,INT_STRUMA,0.0
5,INT_HYPO,0.0
10,INT_OTH,0.0
11,INT_DNK,0.0
12,INT_RTR,0.0
8,INT_GOIT,0.0
