,feature,shap_importance
7,INT_THY,0.7035722136497498
32,THY_FIN,0.3827947974205017
46,WTHR,0.38166508078575134
0,SEX,0.34303146600723267
12,INT_NOD,0.2498238980770111
41,FT3_RE,0.2430925965309143
31,THR_NNL,0.23424337804317474
8,INT_HYPER,0.20967841148376465
3,STRAGC,0.19335776567459106
9,INT_RIT,0.18212568759918213
38,B12,0.18167687952518463
50,SCORESUM,0.17357265949249268
45,BIN_WC_IDF,0.15084849298000336
33,SOMA_HT,0.08235073834657669
43,BIN_GOIT,0.0726710632443428
47,BIN_WTHR,0.06979884952306747
28,THR_NNR,0.06576987355947495
37,TSH,0.06382645666599274
30,THY_HL,0.0586782842874527
20,THY_SLL,0.058567918837070465
40,TPO,0.04830875247716904
26,THY_ER,0.047800060361623764
35,SOMA_WC,0.04490787908434868
10,INT_HYPO,0.040878720581531525
48,WTHTR,0.03941204398870468
1,AGE,0.03778514266014099
39,FOLS,0.031709834933280945
16,THY_SLR,0.02788005769252777
21,THY_SWL,0.023427534848451614
44,BIN_WC,0.01819022372364998
11,INT_GOIT,0.01815350353717804
29,THY_EL,0.01619812473654747
36,SOMA_HC,0.014976809732615948
34,SOMA_BW,0.014953456819057465
49,BMI,0.00843168143182993
23,THY_SVL,0.00800706259906292
6,SDNRWT,0.007959532551467419
5,SDPSWT,0.007249787915498018
25,THY_SI,0.006752833258360624
18,THY_SDR,0.006562798283994198
24,THY_SVT,0.006342353764921427
17,THY_SWR,0.005790116265416145
27,THY_HR,0.005568584892898798
22,THY_SDL,0.005135113839060068
2,STRPOP,0.004324641078710556
19,THY_SVR,0.004140852019190788
4,SDSWT,0.002349408343434334
15,INT_RTR,0.0
14,INT_DNK,0.0
42,HCGB_RE_Z,0.0
13,INT_OTHY,0.0
