,feature,shap_importance
41,FT3_RE,0.2916376292705536
7,INT_THY,0.14285612106323242
37,TSH,0.10891488939523697
50,SCORESUM,0.10458933562040329
46,WTHR,0.0943317636847496
32,THY_FIN,0.08005930483341217
40,TPO,0.07545872032642365
6,SDNRWT,0.07273049652576447
33,SOMA_HT,0.05496250465512276
38,B12,0.05462722107768059
39,FOLS,0.053029924631118774
3,STRAGC,0.05198029801249504
5,SDPSWT,0.050991497933864594
0,SEX,0.04635651409626007
22,THY_SDL,0.040810465812683105
28,THR_NNR,0.039177581667900085
25,THY_SI,0.02624794840812683
26,THY_ER,0.024455316364765167
4,SDSWT,0.023721963167190552
20,THY_SLL,0.02247733063995838
1,AGE,0.021806824952363968
49,BMI,0.02152019366621971
34,SOMA_BW,0.020890740677714348
2,STRPOP,0.020645739510655403
36,SOMA_HC,0.02036488801240921
35,SOMA_WC,0.018954100087285042
24,THY_SVT,0.018100298941135406
16,THY_SLR,0.016162598505616188
18,THY_SDR,0.014849158003926277
29,THY_EL,0.014800278469920158
17,THY_SWR,0.01370291505008936
42,HCGB_RE_Z,0.012413250282406807
48,WTHTR,0.011591233313083649
21,THY_SWL,0.011159438639879227
31,THR_NNL,0.010179121978580952
19,THY_SVR,0.009548846632242203
23,THY_SVL,0.008470109663903713
45,BIN_WC_IDF,0.002173284301534295
10,INT_HYPO,0.001586272264830768
27,THY_HR,0.0015494214603677392
12,INT_NOD,0.0012920990120619535
47,BIN_WTHR,0.0010109837166965008
44,BIN_WC,0.0008336001774296165
8,INT_HYPER,0.0005532839568331838
14,INT_DNK,0.0
43,BIN_GOIT,0.0
9,INT_RIT,0.0
11,INT_GOIT,0.0
15,INT_RTR,0.0
30,THY_HL,0.0
13,INT_OTHY,0.0
