,feature,shap_importance
6,STRATA2,0.002776223700493574
42,FT3,0.0021178454626351595
25,THY_SVR,0.002092974493280053
29,THY_SVL,0.002038544975221157
0,SEX,0.0020331428386271
41,TSH,0.0019325334578752518
23,THY_SWR,0.0018476649420335889
37,SOMA_HT,0.0018060533329844475
26,THY_SLL,0.001766574801877141
1,AGE,0.0014987209578976035
9,BMI,0.0013355734990909696
2,SDSWT,0.0012854357482865453
3,PSU,0.0012299113441258669
7,STRPOP2,0.0011511956108734012
34,THY_NLL,0.0010817908914759755
43,HCGB_RE_Z,0.0007755580591037869
22,THY_SLR,0.000772311759646982
4,STRATA1,0.0007213407079689205
44,SCORESUM,0.0006715470808558166
27,THY_SWL,0.0006501334137283266
10,WTHR,0.0006453332025557756
39,SOMA_WC,0.0006276306812651455
21,MED_7D,0.0006107045919634402
30,THY_SVT,0.0005707113887183368
11,WTHTR,0.0005219831946305931
28,THY_SDL,0.0004840708861593157
38,SOMA_BW,0.00047890428686514497
16,BIN_NODE,0.00046714372001588345
24,THY_SDR,0.00040208728751167655
40,SOMA_HC,0.00029611153877340257
17,BIN_ECHO,0.0002927213499788195
5,STRPOP1,0.00025860415189526975
13,BIN_WCIDF,0.0002369107533013448
20,INT_THY3,0.00021038543491158634
31,THY_SI,0.00020919114467687905
14,BIN_WTHR,0.0001380799658363685
35,THY_NRL,0.00011118852125946432
33,THY_ER,0.00010107830166816711
18,INT_THY1,8.050772157730535e-05
36,THY_FIN,7.023726357147098e-05
32,THY_EL,5.867074287380092e-05
15,BIN_GOIT,4.9766495067160577e-05
19,INT_THY2,3.922470204997808e-05
8,BIN_SMOK,2.6872525268117897e-05
12,BIN_WC,2.559508357080631e-05
