,feature,shap_importance
41,FT3_RE,0.00766119547188282
7,INT_THY,0.005148645956069231
37,TSH,0.0046623689122498035
3,STRAGC,0.0027733605820685625
1,AGE,0.002602409338578582
10,INT_HYPO,0.0020788125693798065
46,WTHR,0.002009501215070486
49,BMI,0.0015540402382612228
36,SOMA_HC,0.001544492319226265
30,THY_HL,0.001487047178670764
20,THY_SLL,0.0013751753140240908
33,SOMA_HT,0.001317222835496068
17,THY_SWR,0.0012306784046813846
22,THY_SDL,0.001174182165414095
32,THY_FIN,0.0011700255563482642
21,THY_SWL,0.001167717156931758
6,SDNRWT,0.0011040177196264267
34,SOMA_BW,0.0010769407963380218
39,FOLS,0.0010732311056926847
16,THY_SLR,0.0010591084137558937
19,THY_SVR,0.0010570413433015347
18,THY_SDR,0.0009981991024687886
48,WTHTR,0.0009711921447888017
23,THY_SVL,0.0009396212990395725
0,SEX,0.0009113831911236048
26,THY_ER,0.0009051607339642942
25,THY_SI,0.0007988079451024532
24,THY_SVT,0.0007745845359750092
38,B12,0.000752605265006423
5,SDPSWT,0.0006380883860401809
29,THY_EL,0.000607348105404526
4,SDSWT,0.0005928538739681244
35,SOMA_WC,0.000575713871512562
12,INT_NOD,0.0005591750959865749
2,STRPOP,0.0005478610401041806
8,INT_HYPER,0.0004417482705321163
27,THY_HR,0.00032900870428420603
9,INT_RIT,0.00031468228553421795
50,SCORESUM,0.00026217952836304903
42,HCGB_RE_Z,0.00019310701463837177
11,INT_GOIT,0.00018237468611914665
40,TPO,0.0001821711630327627
31,THR_NNL,0.00017144018784165382
28,THR_NNR,0.00013732767547480762
43,BIN_GOIT,0.00010695678065530956
45,BIN_WC_IDF,5.113739462103695e-05
14,INT_DNK,3.81715435651131e-05
13,INT_OTHY,2.1411584384622984e-05
44,BIN_WC,0.0
47,BIN_WTHR,0.0
15,INT_RTR,0.0
