original,translated,num_feat,excl_feat,win,scale
zz_nr,PID,PID,EXALOC,SDSWT,SDSWT
SEX,SEX,AGE,SMOK_ST,PSU,PSU
EXDATE_SHIP0,EXADAT,SDSWT,MED_ING,STRATA1,STRATA1
AGE_SHIP0,AGE,PSU,MED_PRES,STRPOP1,STRPOP1
EXLOC_SHIP0,EXALOC,STRATA1,THY_OBS,STRATA2,STRATA2
W_SAMPLE,SDSWT,STRPOP1,THY_ID,STRPOP2,STRPOP2
PSU,PSU,STRATA2,THY_PAR,BMI,BMI
STRATA1,STRATA1,STRPOP2,SOMA_PAR,WTHR,WTHR
FPC1,STRPOP1,BMI,THY_END,WTHTR,WTHTR
STRATA2,STRATA2,WTHR,FT3_RE,THY_SLR,THY_SLR
FPC2,STRPOP2,WTHTR,FT3_RE_Z,THY_SWR,THY_SWR
csmoking_s0,BIN_SMOK,THY_SLR,FT4_RE,THY_SDR,THY_SDR
smoking_s0,SMOK_ST,THY_SWR,FT4_RE_Z,THY_SVR,THY_SVR
bmi_s0,BMI,THY_SDR,TSH_RE,THY_SLL,THY_SLL
whr_s0,WTHR,THY_SVR,TSH_RE_Z,THY_SWL,THY_SWL
whtr_s0,WTHTR,THY_SLL,PID,THY_SDL,THY_SDL
waistc_s0,BIN_WC,THY_SWL,THY_END,THY_SVL,THY_SVL
waiidf_s0,BIN_WCIDF,THY_SDL,,THY_SVT,THY_SVT
whratc_s0,BIN_WTHR,THY_SVL,,THY_SI,THY_SI
goiter_s0,BIN_GOIT,THY_SVT,,THY_NLL,THY_NLL
node_s0,BIN_NODE,THY_SI,,THY_NRL,THY_NRL
echogenthyr_s0,BIN_ECHO,THY_NLL,,SOMA_HT,SOMA_HT
thyr1,INT_THY1,THY_NRL,,SOMA_BW,SOMA_BW
thyr2,INT_THY2,SOMA_HT,,SOMA_WC,SOMA_WC
thyr3,INT_THY3,SOMA_BW,,SOMA_HC,SOMA_HC
medik,MED_7D,SOMA_WC,,TSH,TSH
einn,MED_ING,SOMA_HC,,FT3,FT3
vero,MED_PRES,TSH,,FT4,FT4
blt_grav,BLT_PREG,FT3,,HCGB_RE_Z,HCGB_RE_Z
sd_usnr,THY_OBS,FT4,,SCORESUM,AGE
sd_end,THY_END,TPO,,,SCORESUM
sd_grid,THY_ID,FT3_RE,,,THY_EL
sd_bsnr,THY_PAR,FT3_RE_Z,,,THY_ER
sd_note,THY_NOTE,FT4_RE,,,THY_FIN
sd_lre,THY_SLR,FT4_RE_Z,,,
sd_bre,THY_SWR,HCGB_RE,,,
sd_tre,THY_SDR,HCGB_RE_Z,,,
sd_lli,THY_SVR,TSH_RE,,,
sd_bli,THY_SLL,TSH_RE_Z,,,
sd_tli,THY_SWL,TRAB,,,
sd_volre,THY_SDL,TRAB_Z,,,
sd_volli,THY_SVL,,,,
sd_volg,THY_SVT,,,,
sd_isth,THY_SI,,,,
sd_echli,THY_EL,,,,
sd_echre,THY_ER,,,,
sd_knli,THY_NLL,,,,
sd_knre,THY_NRL,,,,
sd_befnr,THY_FIN,,,,
sd_bef,THY_FFIN,,,,
som_bsnr,SOMA_PAR,,,,
som_note,SOMA_NOTE,,,,
som_groe,SOMA_HT,,,,
som_gew,SOMA_BW,,,,
som_tail,SOMA_WC,,,,
som_huef,SOMA_HC,,,,
tsh,TSH,,,,
ft3,FT3,,,,
ft4,FT4,,,,
tpo_ak,TPO,,,,
ft3_re,FT3_RE,,,,
ft3_re_z,FT3_RE_Z,,,,
ft3_re_p,FT3_RE_P,,,,
ft4_re,FT4_RE,,,,
ft4_re_z,FT4_RE_Z,,,,
ft4_re_p,FT4_RE_P,,,,
hcgb_re_s,HCGB_RE,,,,
hcgb_re_s_z,HCGB_RE_Z,,,,
hcgb_re_s_p,HCGB_RE_P,,,,
tsh_re,TSH_RE,,,,
tsh_re_z,TSH_RE_Z,,,,
tsh_re_p,TSH_RE_P,,,,
trak,TRAB,,,,
trak_p,TRAB_P,,,,
trak_z,TRAB_Z,,,,
