original,translated,num_feat,excl_feat,win,scale
zz_nr,PID,AGE,PID,AGE,AGE
EXLOC_SHIP_T0,EXALOC,STRPOP,EXALOC,STRPOP,STRPOP
SEX_SHIP_T0,SEX,STRAGC,THY_PAR,STRAGC,STRAGC
EXDATE_SHIP_T0,EXADAT,SDSWT,SOMA_PAR,SDSWT,SDSWT
AGE_SHIP_T0,AGE,SDNRWT,THY_ID,SDNRWT,SDNRWT
FPC,STRPOP,SDPSWT,THY_OBS,SDPSWT,SDPSWT
STRATA,STRAGC,THY_OBS,TSH_Z,THY_SLR,THY_SLR
W_SAMPLE,SDSWT,THY_ID,FOLS_Z,THY_SWR,THY_SWR
W_SAMPLING,SDPSWT,THY_RITY,TPO_Z,THY_SDR,THY_SDR
W_NONRESPONSE,SDNRWT,THY_TSRY,FT3_RE_Z,THY_SVR,THY_SVR
t0_schild_01,INT_THY,THY_TSLY,FT4_RE_Z,THY_SLL,THY_SLL
t0_schild_02a,INT_HYPER,THY_SLR,INT_RITY,THY_SWL,THY_SWL
t0_schild_03,INT_RIT,THY_SWR,,THY_SDL,THY_SDL
t0_schild_02b,INT_HYPO,THY_SDR,,THY_SVL,THY_SVL
t0_schild_04,INT_RITY,THY_SVR,,THY_SVT,THY_SVT
t0_schild_02c,INT_GOIT,THY_SLL,,THY_SI,THY_SI
t0_schild_02d,INT_NOD,THY_SWL,,SOMA_HT,SOMA_HT
t0_schild_02e,INT_OTHY,THY_SDL,,B12,B12
t0_schild_02f,INT_DNK,THY_SVL,,SOMA_BW,SOMA_BW
t0_schild_02g,INT_RTR,THY_SVT,,SOMA_WC,SOMA_WC
t0_frau_06,INT_PREG,THY_SI,,SOMA_HC,SOMA_HC
sd_usnr,THY_OBS,SOMA_HT,,FOLS,FOLS
sd_grid,THY_ID,SOMA_BW,,TPO,TPO
sd_beg,THY_BEG,SOMA_WC,,HCGB_RE_Z,HCGB_RE_Z
sd_bsnr,THY_PAR,SOMA_HC,,WTHR,WTHR
sd_note,THY_NOTE,TSH,,WTHTR,WTHTR
sd_rad_jod_th_year,THY_RITY,TSH_Z,,BMI,BMI
sd_op_re_year,THY_TSRY,FT3,,SCORESUM,FT4
sd_op_li_year,THY_TSLY,FT3_Z,,,FT3_RE
sd_lre,THY_SLR,FT4,,,TSH
sd_bre,THY_SWR,B12,,,SCORESUM
sd_tre,THY_SDR,FOLS,,,THY_EL
sd_volre,THY_SVR,FOLS_Z,,,THY_ER
sd_lli,THY_SLL,TPO,,,THY_FIN
sd_bli,THY_SWL,TPO_Z,,,THR_NNR
sd_tli,THY_SDL,FT3_RE,,,THR_NNL
sd_volli,THY_SVL,FT3_RE_Z,,,
sd_volg,THY_SVT,FT4_RE,,,
sd_isth,THY_SI,FT4_RE_Z,,,
sd_echre,THY_ER,HCGB_RE,,,
sd_homore,THY_HR,HCGB_RE_Z,,,
sd_kre,THR_NNR,T2,,,
sd_echli,THY_EL,T2_Z,,,
sd_homoli,THY_HL,WTHR,,,
sd_kli,THR_NNL,WTHTR,,,
sd_befnr,THY_FIN,BMI,,,
sd_bef,THY_FFIN,,,,
sd_end,THY_END,,,,
som_bsnr,SOMA_PAR,,,,
som_groe,SOMA_HT,,,,
som_gew,SOMA_BW,,,,
som_tail,SOMA_WC,,,,
som_huef,SOMA_HC,,,,
som_note,SOMA_NOTE,,,,
tsh,TSH,,,,
tsh_z,TSH_Z,,,,
tsh_p,TSH_P,,,,
ft3,FT3,,,,
ft3_z,FT3_Z,,,,
ft3_p,FT3_P,,,,
ft4,FT4,,,,
b12,B12,,,,
fols,FOLS,,,,
fols_z,FOLS_Z,,,,
fols_p,FOLS_P,,,,
tpo_ak,TPO,,,,
tpo_ak_z,TPO_Z,,,,
tpo_ak_p,TPO_P,,,,
ft3_re,FT3_RE,,,,
ft3_re_z,FT3_RE_Z,,,,
ft3_re_p,"FT3_RE_P,",,,,
ft4_re,FT4_RE,,,,
ft4_re_z,FT4_RE_Z,,,,
ft4_re_p,FT4_RE_P,,,,
hcgb_re_s,HCGB_RE,,,,
hcgb_re_s_z,HCGB_RE_Z,,,,
hcgb_re_s_p,HCGB_RE_P,,,,
t2_35,T2,,,,
t2_35_p,T2_P,,,,
t2_35_z,T2_Z,,,,
goiter_t0,BIN_GOIT,,,,
waistc_t0,BIN_WC,,,,
waiidf_t0,BIN_WC_IDF,,,,
whr_t0,WTHR,,,,
whratc_t0,BIN_WTHR,,,,
whtr_t0,WTHTR,,,,
bmi_t0,BMI,,,,
